Name;Required;Set;AmigaOsVersion;KickstartVersionRequired;Model;Md5Hash;VolumeName;Filename;CopyFile;InstallAmigaOsPrefs;Comment
Amiga OS 3.2 Locale TR Disk;False;Amiga OS 3.2;3.2;3.1;;6f9a623611fd19e084f7be2106ecfd99;Locale-TR;amiga-os-32-locale-tr.adf;True;Amiga-OS-32-ADF;Hyperion Entertainment
Amiga OS 3.2 Locale UK Disk;False;Amiga OS 3.2;3.2;3.1;;8d88812406cbf373cdb38148096972b9;Locale-UK;amiga-os-32-locale-uk.adf;True;Amiga-OS-32-ADF;Hyperion Entertainment
Amiga OS 3.2 MMULibs Disk;False;Amiga OS 3.2;3.2;3.1;;66c46918b7005167f1b65e444d0b95f7;MMULibs;amiga-os-32-mmulibs.adf;True;Amiga-OS-32-ADF;Hyperion Entertainment
Amiga OS 3.2 Modules A1200 Disk;False;Amiga OS 3.2;3.2;3.1;A1200;2d46a2856152256771883f212a4e462d;ModulesA1200_3.2;amiga-os-32-modules-a1200.adf;True;Amiga-OS-32-ADF;Hyperion Entertainment
Amiga OS 3.2 Modules A2000 Disk;False;Amiga OS 3.2;3.2;3.1;A2000;9b18dea310bf073ef9cae2a120254d92;ModulesA2000_3.2;amiga-os-32-modules-a2000.adf;True;Amiga-OS-32-ADF;Hyperion Entertainment
Amiga OS 3.2 Modules A3000 Disk;False;Amiga OS 3.2;3.2;3.1;A3000;99fdc21e434c2b2a988ba96b69d46389;ModulesA3000_3.2;amiga-os-32-modules-a3000.adf;True;Amiga-OS-32-ADF;Hyperion Entertainment
Amiga OS 3.2 Modules A4000D Disk;False;Amiga OS 3.2;3.2;3.1;A4000D;729ddf87056936d77ee8287f9ad090a7;ModulesA4000D_3.2;amiga-os-32-modules-a4000d.adf;True;Amiga-OS-32-ADF;Hyperion Entertainment
Amiga OS 3.2 Modules A4000T Disk;False;Amiga OS 3.2;3.2;3.1;A4000T;f8eddbca10560582b99a2f4555ad0620;ModulesA4000T_3.2;amiga-os-32-modules-a4000t.adf;True;Amiga-OS-32-ADF;Hyperion Entertainment
Amiga OS 3.2 Modules A500 Disk;False;Amiga OS 3.2;3.2;3.1;A500;2af6b84449996440211e9547660b10b6;ModulesA500_3.2;amiga-os-32-modules-a500.adf;True;Amiga-OS-32-ADF;Hyperion Entertainment
Amiga OS 3.2 Modules A600 Disk;False;Amiga OS 3.2;3.2;3.1;A600;c6474df1d52300a4993f13a394701697;ModulesA600_3.2;amiga-os-32-modules-a600.adf;True;Amiga-OS-32-ADF;Hyperion Entertainment
Amiga OS 3.2 Modules CD32 Disk;False;Amiga OS 3.2;3.2;3.1;CD32;00b2c4d420c933894151c43dc3a24155;ModulesCD32_3.2;amiga-os-32-modules-cd32.adf;True;Amiga-OS-32-ADF;Hyperion Entertainment

Amiga OS 3.2.3 Classes Disk;FALSE;Amiga OS 3.2;3.2;3.1;;58af923f36f1fe0ee16bb62216fbb44e;Classes3.2.3.adf;amiga-os-323-classes.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Disk Doctor Disk;FALSE;Amiga OS 3.2;3.2;3.1;;cc19b8acf0fb41a7abd79304e224390a;DiskDoctor;amiga-os-323-disk-doctor.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Extras Disk;FALSE;Amiga OS 3.2;3.2;3.1;;1be9c9a15900ee655564777d185c5929;Extras3.2.3;amiga-os-323-extras.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale CZ Disk;FALSE;Amiga OS 3.2;3.2;3.1;;5be89147576c7953e7be039406b65910;Locale3.2.3-CZ;amiga-os-323-locale-cz.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale DE Disk;FALSE;Amiga OS 3.2;3.2;3.1;;f523dd8f7922761dfc87743e400b51e6;Locale3.2.3-DE;amiga-os-323-locale-de.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale DK Disk;FALSE;Amiga OS 3.2;3.2;3.1;;2316fdc9f96b087cbd5ff6c0f0d58a5b;Locale3.2.3-DK;amiga-os-323-locale-dk.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale EN Disk;FALSE;Amiga OS 3.2;3.2;3.1;;4355f9fd19a05152289818ab19f7333d;Locale3.2.3-EN;amiga-os-323-locale-en.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale ES Disk;FALSE;Amiga OS 3.2;3.2;3.1;;929f937fc9837c64e33fa6c90e246def;Locale3.2.3-ES;amiga-os-323-locale-es.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale FR Disk;FALSE;Amiga OS 3.2;3.2;3.1;;156bc39b8b30141ecc32bcb06f69f1af;Locale3.2.3-FR;amiga-os-323-locale-fr.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale GR Disk;FALSE;Amiga OS 3.2;3.2;3.1;;655864477a98d59e7d608d92bca4e645;Locale3.2.3-GR;amiga-os-323-locale-gr.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale IT Disk;FALSE;Amiga OS 3.2;3.2;3.1;;523b818877aea73a79fcb330c06e2da9;Locale3.2.3-IT;amiga-os-323-locale-it.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale NL Disk;FALSE;Amiga OS 3.2;3.2;3.1;;4023662f85856dfe1cb3a89b3a804143;Locale3.2.3-NL;amiga-os-323-locale-nl.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale NO Disk;FALSE;Amiga OS 3.2;3.2;3.1;;607531db32b4cb60a23f81a03e70e035;Locale3.2.3-NO;amiga-os-323-locale-no.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale PL Disk;FALSE;Amiga OS 3.2;3.2;3.1;;d1c6b0536c532fa629ea5b7c70511394;Locale3.2.3-PL;amiga-os-323-locale-pl.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale PT Disk;FALSE;Amiga OS 3.2;3.2;3.1;;9389b8b1c3d73bbf3f694e1f85788ccd;Locale3.2.3-PT;amiga-os-323-locale-pt.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale RS Disk;FALSE;Amiga OS 3.2;3.2;3.1;;f699a62a04b0076b0c73c51a415b53b3;Locale3.2.3-RS;amiga-os-323-locale-rs.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale RU Disk;FALSE;Amiga OS 3.2;3.2;3.1;;97f54f938fc3ff909eaeaed9656137c7;Locale3.2.3-RU;amiga-os-323-locale-ru.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale SE Disk;FALSE;Amiga OS 3.2;3.2;3.1;;554fc350c906b2b5966d15f1fa43727f;Locale3.2.3-SE;amiga-os-323-locale-se.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale TR Disk;FALSE;Amiga OS 3.2;3.2;3.1;;afab6a82afcdba73b5cffa762311ceb5;Locale3.2.3-TR;amiga-os-323-locale-tr.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Locale UK Disk;FALSE;Amiga OS 3.2;3.2;3.1;;b44138a4c96c7272f1e3e3f595fa6bad;Locale3.2.3-UK;amiga-os-323-locale-uk.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Modules A1200 Disk;FALSE;Amiga OS 3.2;3.2;3.1;A1200;a44b18aa3aab9e0474e4b1b958365f28;ModulesA1200_3.2.3;amiga-os-323-modules-a1200.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Modules A2000 Disk;FALSE;Amiga OS 3.2;3.2;3.1;A2000;51b85621e4d4df08a8ee0e4746c1923d;ModulesA2000_3.2.3;amiga-os-323-modules-a2000.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Modules A3000 Disk;FALSE;Amiga OS 3.2;3.2;3.1;A3000;1a385ca1c824d7d82783e71a4bb96460;ModulesA3000_3.2.3;amiga-os-323-modules-a3000.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Modules A4000D Disk;FALSE;Amiga OS 3.2;3.2;3.1;A4000D;38ca3bcb99796be0d4c59301006a81f6;ModulesA4000D_3.2.3;amiga-os-323-modules-a4000d.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Modules A4000T Disk;FALSE;Amiga OS 3.2;3.2;3.1;A4000T;91da051276b26d56f59cc4de18c1f8ab;ModulesA4000T_3.2.3;amiga-os-323-modules-a4000t.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Modules A500 Disk;FALSE;Amiga OS 3.2;3.2;3.1;A500;371ef369b13dc7234043b0e95c08aa46;ModulesA500_3.2.3;amiga-os-323-modules-a500.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Modules A600 Disk;FALSE;Amiga OS 3.2;3.2;3.1;A600;4b489adf76a41c72d8850028d298cf48;ModulesA600_3.2.3;amiga-os-323-modules-a600.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Modules CD32 Disk;FALSE;Amiga OS 3.2;3.2;3.1;CD32;3cafa62831d8e1b617f8a52bfc136eea;ModulesCD32_3.2.3;amiga-os-323-modules-cd32.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment
Amiga OS 3.2.3 Update Disk;FALSE;Amiga OS 3.2;3.2;3.1;;58aff9a5c27d8bb0c5d7c43ceeeadd6b;Update3.2.3;amiga-os-323-update.adf;TRUE;Amiga-OS-323-ADF;Hyperion Entertainment

Amiga OS 3.1.4 Extras Disk;True;Amiga OS 3.1.4;3.1.4;3.1;;988ddad5106d5b846be57b711d878b4c;Extras3.1.4;amiga-os-314-extras.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Fonts Disk;True;Amiga OS 3.1.4;3.1.4;3.1;;27a7af42777a43a06f8d9d8e74226e56;Fonts;amiga-os-314-fonts.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Install Disk;True;Amiga OS 3.1.4;3.1.4;3.1;;7e9b5ec9cf89d9aae771cd1b708792d9;Install3.1.4;amiga-os-314-install.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Install Disk;True;Amiga OS 3.1.4;3.1.4;3.1;;2fac2ab6bdd36bd28c04297253238655;Install3.1.4;amiga-os-314-install.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Locale Disk;True;Amiga OS 3.1.4;3.1.4;3.1;;4007bfe06b5b51af981a3fa52c51f54a;Locale;amiga-os-314-locale.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Storage Disk;True;Amiga OS 3.1.4;3.1.4;3.1;;372215cd27888d65a95db92b6513e702;Storage3.1.4;amiga-os-314-storage.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Workbench Disk;True;Amiga OS 3.1.4;3.1.4;3.1;;05a7469fd903744aa5f53741765bf668;Workbench3.1.4;amiga-os-314-workbench.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A500 Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A500;8a3824e64dbe2c8327d5995188d5fdd3;ModulesA500_3.1.4;amiga-os-314-modules-a500.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A500 Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A500;2065c8850b5ba97099c3ff2672221e3f;ModulesA500_3.1.4;amiga-os-314-modules-a500.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A600 Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A600;c5a96c56ee5a7e2ca639c755d89dda36;ModulesA600_3.1.4;amiga-os-314-modules-a600.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Modules A600 Disk;False;Amiga OS 3.1.4;3.1.4;3.1;A600;4e095037af1da015c09ed26e3e107f50;ModulesA600_3.1.4;amiga-os-314-modules-a600.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
